"","degree","degree_spouse","count","weighted","percent","odds"
"41","Accounting","Physical Education",296,30627,0.536327441500785,0.742155023464026
"42","Accounting","Physics and Astronomy",268,25545,0.447333545340306,0.614307902713348
"43","Accounting","Policy Studies",658,62421,1.09309090756262,1.01339672607772
"44","Accounting","Political Science",1065,95725,1.67629687327073,0.672073217871047
"45","Accounting","Psychology",2075,192136,3.36460669671188,0.776485288729233
"46","Accounting","Social Science",1287,117510,2.05778684333292,0.705918437788097
"47","Accounting","Transportation",138,15454,0.270624099028737,1.2216830748605
"48","Agriculture","Accounting",557,42852,2.52332568814092,0.676090231399236
"49","Agriculture","Agriculture",3020,224464,13.217487567975,11.9621385614579
"50","Agriculture","Architecture",100,8985,0.52907871996514,0.678217931015266
"52","Agriculture","Biology",1192,98903,5.82387007687393,1.08422175609518
"53","Agriculture","Business",1582,134834,7.93965499474454,0.696068921840881
"54","Agriculture","Chemistry",233,19487,1.14748547756936,0.761341312063632
"55","Agriculture","Communications",363,31468,1.85298265552176,0.688395570654927
"56","Agriculture","Computer Science",258,25040,1.47447202536751,0.503527760618847
"57","Agriculture","Construction",37,2391,0.140793235329622,0.902167382948263
"59","Agriculture","Criminal Justice",132,13903,0.818673505139159,0.67852368883084
"60","Agriculture","Economics",196,16355,0.96305870506732,0.40978628541039
"61","Agriculture","Education",4926,369716,21.7706030084176,1.56402376046035
"62","Agriculture","Engineering",1035,94567,5.56854616704991,0.575064155280889
"63","Agriculture","English",472,36876,2.17143092681519,0.633517625335637
"64","Agriculture","Environmental Science",331,26385,1.55367190053202,1.43682278446315
"65","Agriculture","Ethnic and Cultural Studies",46,4474,0.263449993669898,0.61097143120797
"66","Agriculture","Family Studies",696,54698,3.2208734362441,3.53974909424548
"67","Agriculture","Finance",202,18561,1.09295827727022,0.581391751471349
"68","Agriculture","Fine Arts",369,33261,1.95856286085259,0.865601680796965
"69","Agriculture","Foreign Languages",125,11349,0.668282069324917,0.698619185140876
"70","Agriculture","General Science",139,14973,0.881680097277467,0.875050882996938
"71","Agriculture","History",293,25890,1.52452399108486,0.628449085712972
"72","Agriculture","Interdisciplinary",37,2597,0.152923476432885,2.20536959940158
"73","Agriculture","Journalism",153,12948,0.76243864953908,0.851875102458523
"75","Agriculture","Liberal Arts",208,17998,1.05980621056568,0.773929439407056
"76","Agriculture","Library Science",30,2418,0.142383121299467,1.86430234539334
"78","Agriculture","Marketing",332,28032,1.65065494469258,0.798189011575645
"79","Agriculture","Math and Stats",201,15626,0.920131783881501,0.52576266246336
"81","Agriculture","Medical Sciences",803,66142,3.89474954879625,1.14999363427254
"83","Agriculture","Music",77,5576,0.328340895105801,0.420479698680057
"84","Agriculture","Nursing",997,79034,4.65389065706454,1.34863658038749
"85","Agriculture","Performing Arts",38,3530,0.207862869390868,0.51329369788736
"86","Agriculture","Philosophy and Religious Studies",98,8112,0.477672406940147,0.347276988975541
"87","Agriculture","Physical Education",161,12442,0.732643008770871,1.01381112144514
"88","Agriculture","Physics and Astronomy",68,5352,0.315150730022641,0.432785752812261
"89","Agriculture","Policy Studies",229,17712,1.04296519621843,0.966925275584234
"90","Agriculture","Political Science",238,20350,1.19830294393885,0.480432377552742
"91","Agriculture","Psychology",577,48838,2.87580929612215,0.663680299569943
"92","Agriculture","Social Science",432,33360,1.96439244274202,0.673879527785644
"94","Architecture","Accounting",338,31225,2.6010190830252,0.696906994016552
"95","Architecture","Agriculture",100,9135,0.760938649269341,0.688667286297307
"96","Architecture","Architecture",1610,146191,12.1776006650612,15.6102800523467
"97","Architecture","Art History",88,7254,0.604252759912402,2.43887366887608
"98","Architecture","Biology",507,45832,3.81777122860563,0.710749102914254
"99","Architecture","Business",1037,96512,8.03937722148688,0.704811541642852
"100","Architecture","Chemistry",101,9015,0.750942739262518,0.49824067460804
"101","Architecture","Communications",346,33342,2.77736359539555,1.03180929112488
"102","Architecture","Computer Science",259,25844,2.15278581846928,0.735169954852724
"103","Architecture","Construction",33,2595,0.21616155389753,1.38510911724365
"105","Architecture","Criminal Justice",68,6977,0.581178867646655,0.481686106975064
"106","Architecture","Economics",248,22938,1.91071819780407,0.813020049231443
"107","Architecture","Education",1571,134852,11.2330704686666,0.806996058120325
"108","Architecture","Engineering",1066,99722,8.30676781416937,0.857840542761849
"109","Architecture","English",509,45926,3.82560135811097,1.11612372716501
"110","Architecture","Environmental Science",135,12126,1.01008670618938,0.934119953175463
"111","Architecture","Ethnic and Cultural Studies",74,5826,0.485301430831218,1.12547083289137
"112","Architecture","Family Studies",186,17620,1.46773278600173,1.61304297230726
"113","Architecture","Finance",173,16765,1.39651192720312,0.742865286342894
"114","Architecture","Fine Arts",755,71002,5.91441335253659,2.61391940607855
"115","Architecture","Foreign Languages",166,12938,1.07772569723555,1.12665004782432
"116","Architecture","General Science",82,8408,0.700380094478009,0.695114049799336
"117","Architecture","History",250,20657,1.72071260842439,0.709323376755253
"119","Architecture","Journalism",156,13975,1.1641070195445,1.30066049895386
"121","Architecture","Liberal Arts",218,18921,1.57610511032569,1.15095975970759
"124","Architecture","Marketing",219,20595,1.71554805492086,0.829568603027631
"125","Architecture","Math and Stats",158,13171,1.09713442249879,0.626901594879208
"126","Architecture","Medical Sciences",396,35349,2.94454519025965,0.869428848020807
"127","Architecture","Music",100,9741,0.811417994803793,1.03911756392083
"128","Architecture","Nursing",480,44985,3.74721676380748,1.08589434536604
"129","Architecture","Performing Arts",80,7576,0.631075118430709,1.55836790366937
"130","Architecture","Philosophy and Religious Studies",114,10658,0.887803407105926,0.645450085778974
"131","Architecture","Physical Education",62,5440,0.453147920309273,0.627053531774013
"132","Architecture","Physics and Astronomy",65,4978,0.414663666783008,0.569443575941344
"133","Architecture","Policy Studies",149,13485,1.12329038701665,1.04139399961745
"134","Architecture","Political Science",264,24376,2.03050251938582,0.814084070487995
"135","Architecture","Psychology",549,46658,3.88657640915259,0.89694549393974
"136","Architecture","Social Science",436,39751,3.31122848900991,1.13590808811612
"138","Art History","Accounting",105,10326,2.72743841076395,0.730779213049392
"140","Art History","Architecture",88,7314,1.93186950768231,2.47643474286616
"141","Art History","Art History",98,6901,1.82278253657583,7.35708210665295
"142","Art History","Biology",229,18604,4.9139322287287,0.914819867609044
"143","Art History","Business",403,36136,9.54471377216407,0.836784316605642
"144","Art History","Chemistry",69,5607,1.48099430264899,0.982620178144696
"145","Art History","Communications",121,9880,2.60963504729303,0.969496846450329
"146","Art History","Computer Science",82,7629,2.01507143479742,0.688140695868067
"150","Art History","Economics",245,22280,5.88488551150696,2.50404837628652
"151","Art History","Education",169,15134,3.99739036495271,0.287176877983455
"152","Art History","Engineering",425,36689,9.69077937754393,1.00076746059901
"153","Art History","English",320,28205,7.44987414057692,2.17350976638434
"154","Art History","Environmental Science",67,4959,1.30983605258362,1.21132530463964
"155","Art History","Ethnic and Cultural Studies",50,3906,1.03170389622739,2.39264251077239
"157","Art History","Finance",84,7766,2.05125766976495,1.09115307389636
"158","Art History","Fine Arts",218,17457,4.61097156078891,2.03785383125676
"159","Art History","Foreign Languages",62,6083,1.60672165917849,1.67966015308194
"161","Art History","History",286,23693,6.25810558456617,2.57975669388928
"164","Art History","Journalism",45,3983,1.05204214507775,1.1754499136595
"166","Art History","Liberal Arts",56,4306,1.13735713700848,0.830561504101403
"168","Art History","Marketing",61,5244,1.38511398664015,0.669784282348273
"169","Art History","Math and Stats",96,8689,2.29505252286732,1.31139166777468
"171","Art History","Medical Sciences",48,4304,1.13682887080458,0.335668813982006
"173","Art History","Music",34,4026,1.06339986846172,1.36181058033395
"175","Art History","Performing Arts",33,2466,0.651352229415447,1.60843988689212
"176","Art History","Philosophy and Religious Studies",86,7357,1.94322723106628,1.4127632692531
"178","Art History","Physics and Astronomy",48,4337,1.14554526316902,1.57313804222971
"180","Art History","Political Science",227,20262,5.35186491176634,2.14570874502635
"181","Art History","Psychology",166,15695,4.14556903514819,0.956715997414247
"182","Art History","Social Science",160,12845,3.39278969458289,1.1638877184777
"184","Biology","Accounting",2028,189675,2.30463768313167,0.617495812555125
"185","Biology","Agriculture",1192,98693,1.19916492348129,1.08527246005487
"186","Biology","Architecture",507,45594,0.55398787676133,0.710148655286051
"187","Biology","Art History",229,18705,0.227274273694361,0.91732021081614
"188","Biology","Biology",16424,1475389,17.9266486710318,3.33737943049958
"189","Biology","Business",6241,594805,7.227151797101,0.633603840547249
"190","Biology","Chemistry",2662,240156,2.9180048368534,1.93605821017986
"191","Biology","Communications",1762,163926,1.99177559955209,0.7399580979085
"192","Biology","Computer Science",2052,201203,2.44470813633394,0.834860441301686
"193","Biology","Construction",108,9578,0.116377064605431,0.745715160548295
"195","Biology","Criminal Justice",655,60747,0.738103731842359,0.611746740628214
"196","Biology","Economics",1794,165323,2.00874978615198,0.854733154706064
"197","Biology","Education",9233,809905,9.84071481616847,0.706967749162567
"198","Biology","Engineering",7961,736067,8.94354946887928,0.923600963500749
"199","Biology","English",2941,256936,3.12188948334318,0.910814898489267
"200","Biology","Environmental Science",1488,122969,1.49412938582849,1.38175791938526
"201","Biology","Ethnic and Cultural Studies",390,34847,0.423406929453482,0.981930232212297
"202","Biology","Family Studies",837,71238,0.86557416249339,0.951268643765917
"203","Biology","Finance",1151,113465,1.37865145494417,0.733364245979925
"204","Biology","Fine Arts",1459,133286,1.61948563718934,0.715744044805887
"205","Biology","Foreign Languages",921,82295,0.999921751065352,1.04531387735897
"206","Biology","General Science",733,73181,0.889182497900401,0.882496873605773
"207","Biology","History",1891,162503,1.97448550110423,0.813935314532971
"209","Biology","Interdisciplinary",53,4800,0.0583221873153131,0.841087110852961
"210","Biology","Journalism",571,50358,0.611872647671778,0.683647225909815
"211","Biology","Law",72,6027,0.07323079644779,0.590696581502487
"212","Biology","Liberal Arts",855,76809,0.933264351146225,0.681521706718553
"213","Biology","Library Science",65,5802,0.0704969439173847,0.923056251655244
"214","Biology","Linguistics",181,15934,0.193605360975458,0.919884700325985
"215","Biology","Marketing",1226,117011,1.42173697082335,0.687493662061741
"216","Biology","Math and Stats",1510,134499,1.63422413994214,0.933794442602161
"218","Biology","Medical Sciences",4001,367113,4.46059023997636,1.31706787472874
"220","Biology","Music",567,51420,0.624776431615291,0.800100725844421
"221","Biology","Nursing",4608,417094,5.06788216585275,1.46860574308409
"222","Biology","Performing Arts",252,22718,0.276034052381101,0.681634692540176
"223","Biology","Philosophy and Religious Studies",882,83474,1.01424713832468,0.737377006160448
"224","Biology","Physical Education",686,62195,0.755697591682478,1.04571343932775
"225","Biology","Physics and Astronomy",1030,95147,1.1560794076021,1.58760402666231
"226","Biology","Policy Studies",747,68805,0.836012103797941,0.775060745263987
"227","Biology","Political Science",1886,170185,2.06782530172012,0.829047478903916
"228","Biology","Psychology",4159,373129,4.53368738141155,1.0462860177141
"229","Biology","Social Science",2572,228523,2.7766585858036,0.952525593538234
"230","Biology","Transportation",155,14251,0.173156144048026,0.781681589625061
"231","Business","Accounting",7185,698345,3.99593600070861,1.07065567227403
"232","Business","Agriculture",1582,133955,0.76649164377911,0.69369288158293
"233","Business","Architecture",1037,95907,0.548780665745385,0.703473624878698
"234","Business","Art History",403,37118,0.212389510162316,0.857242463908741
"235","Business","Biology",6241,597523,3.41903166336326,0.636516419354416
"236","Business","Business",34756,3447203,19.7249247427142,1.72928216626511
"237","Business","Chemistry",1497,142899,0.817669287480057,0.54251290230038
"238","Business","Communications",5531,527231,3.01682024442017,1.1207687957543
"239","Business","Computer Science",4672,480205,2.74773707439773,0.93834393489978
"240","Business","Construction",308,28600,0.163649442066982,1.04862415883049
"242","Business","Criminal Justice",2275,222936,1.27564167890366,1.0572631402721
"243","Business","Economics",3625,343631,1.96625949045171,0.836653022048135
"244","Business","Education",28876,2616588,14.9721386824881,1.07561494423391
"245","Business","Engineering",13793,1334465,7.63582002475226,0.78855169341816
"246","Business","English",5020,462120,2.64425455132845,0.771464600248355
"247","Business","Environmental Science",1296,116320,0.665584024518577,0.615526479317462
"248","Business","Ethnic and Cultural Studies",558,52886,0.302614139620783,0.701797569864155
"249","Business","Family Studies",2158,193702,1.10836448347058,1.21809536268406
"250","Business","Finance",3669,356295,2.0387230056383,1.08448516387173
"251","Business","Fine Arts",3615,349478,1.99971607394002,0.883789559343551
"252","Business","Foreign Languages",1318,117600,0.672908195352344,0.703455289852315
"253","Business","General Science",1454,152330,0.871633549302913,0.865079821836414
"254","Business","History",3097,276175,1.58027568751219,0.651431533628957
"256","Business","Interdisciplinary",129,11846,0.0677829122631282,0.977523853907171
"257","Business","Journalism",1611,155055,0.887226022366988,0.991300466232777
"258","Business","Law",214,22315,0.127686618871493,1.02994966767638
"259","Business","Liberal Arts",2716,270569,1.54819810806368,1.13058051212309
"260","Business","Library Science",138,12918,0.073916905336408,0.967835850443126
"261","Business","Linguistics",308,31078,0.177828579040478,0.844923790454138
"262","Business","Marketing",4779,460809,2.6367529982323,1.27502553279705
"263","Business","Math and Stats",2458,221131,1.26531345362635,0.72299895702931
"265","Business","Medical Sciences",5898,565856,3.23783282133755,0.95602730312281
"267","Business","Music",901,86084,0.492573376604687,0.630799010448625
"268","Business","Nursing",7235,698741,3.99820191606031,1.15862650693333
"269","Business","Performing Arts",464,44254,0.253221762560567,0.62530232238506
"270","Business","Philosophy and Religious Studies",1387,125700,0.719256463909776,0.522913259424423
"271","Business","Physical Education",1270,125880,0.720286425433275,0.996712400098929
"272","Business","Physics and Astronomy",595,55659,0.318481269091124,0.437359552674729
"273","Business","Policy Studies",2240,214958,1.22999149537882,1.14031572166001
"274","Business","Political Science",3776,355183,2.03236013222646,0.814828592470428
"275","Business","Psychology",7768,743104,4.25204737754344,0.981289030928506
"276","Business","Social Science",4812,443407,2.53717860694385,0.870372607110827
"277","Business","Transportation",375,34746,0.198816906085991,0.897522584744787
"278","Chemistry","Accounting",620,58041,2.51708347734902,0.6744175060698
"279","Chemistry","Agriculture",233,19369,0.839981907147934,0.760203327327403
"280","Chemistry","Architecture",101,9060,0.392908053010495,0.503662911890309
"281","Chemistry","Art History",69,5613,0.243420850060476,0.982490810905828
"282","Chemistry","Biology",2662,239594,10.3905532067325,1.93439420313206
"283","Chemistry","Business",1497,142044,6.16006969998044,0.540052846548667
"284","Chemistry","Chemistry",3050,275602,11.952124197108,7.93007553278864
"285","Chemistry","Communications",364,34658,1.50302508843684,0.558383834381438
"286","Chemistry","Computer Science",502,47823,2.0739560506756,0.708249746554713
"289","Chemistry","Criminal Justice",129,10684,0.463336604675953,0.384017387887039
"290","Chemistry","Economics",433,40273,1.74653267316685,0.743158511954323
"291","Chemistry","Education",3159,276547,11.9931063284651,0.861598164580427
"292","Chemistry","Engineering",2319,211479,9.17128058969167,0.947118863902475
"293","Chemistry","English",948,80768,3.5026928946525,1.02191492690293
"294","Chemistry","Environmental Science",244,20225,0.877104345710515,0.811138671862916
"295","Chemistry","Ethnic and Cultural Studies",91,7472,0.324040725396735,0.751488366857591
"296","Chemistry","Family Studies",293,24616,1.06753031268282,1.17321867412341
"297","Chemistry","Finance",207,20001,0.867390062722176,0.461402404710802
"298","Chemistry","Fine Arts",457,40461,1.75468573210349,0.775496703895102
"299","Chemistry","Foreign Languages",356,31158,1.35123941674404,1.41257934203321
"300","Chemistry","General Science",221,20091,0.87129312285142,0.864741981251635
"301","Chemistry","History",562,47117,2.04333871232842,0.842318340906183
"303","Chemistry","Journalism",157,13134,0.56958657486091,0.636400941969625
"305","Chemistry","Liberal Arts",233,22328,0.968305850730501,0.707110964045821
"307","Chemistry","Linguistics",53,4381,0.189992293624611,0.902717640880599
"308","Chemistry","Marketing",265,25688,1.11402009555559,0.53869435022794
"309","Chemistry","Math and Stats",611,54912,2.38138708685566,1.36072285456892
"311","Chemistry","Medical Sciences",1129,105135,4.55942474097775,1.34625065176021
"312","Chemistry","Music",202,18873,0.818471709102326,1.04815066838811
"313","Chemistry","Nursing",1391,123503,5.35599594602155,1.55209740193939
"314","Chemistry","Performing Arts",53,4244,0.184050968761208,0.454492929665979
"315","Chemistry","Philosophy and Religious Studies",207,18447,0.799997224490575,0.581613295649621
"316","Chemistry","Physical Education",86,7804,0.338438680540166,0.468322113208526
"317","Chemistry","Physics and Astronomy",369,32254,1.39877001565127,1.9208833344213
"318","Chemistry","Policy Studies",215,19357,0.839461499130702,0.778258658948148
"319","Chemistry","Political Science",387,34898,1.51343324878149,0.606776595282478
"320","Chemistry","Psychology",1023,91824,3.98216214786266,0.91900486753329
"321","Chemistry","Social Science",635,56777,2.46226716620054,0.844674241822495
"323","Communications","Accounting",1326,122681,2.98050612313122,0.798585276427546
"324","Communications","Agriculture",363,31014,0.753477856414535,0.681915177752835
"325","Communications","Architecture",346,33206,0.806731982333818,1.03413746938557
"326","Communications","Art History",121,10161,0.246859111982591,0.996368008410465
"327","Communications","Biology",1762,162920,3.95810319104456,0.736874515651205
"328","Communications","Business",5531,526195,12.7837841186576,1.12075297499086
"329","Communications","Chemistry",364,33192,0.806391855617181,0.53503049467617
"330","Communications","Communications",4090,385929,9.37605454466386,3.48326710618337
"331","Communications","Computer Science",1170,116627,2.83342561295086,0.967606471102345
"332","Communications","Construction",93,10331,0.250989222113193,1.60827561069908
"334","Communications","Criminal Justice",651,68388,1.66147042124451,1.37704072903517
"335","Communications","Economics",1114,104758,2.54507104153846,1.08294041806144
"336","Communications","Education",4217,394311,9.57969326886798,0.68821564265182
"337","Communications","Engineering",3302,314350,7.63705952679142,0.788679748309427
"338","Communications","English",1607,146585,3.56124819702472,1.03899841910302
"339","Communications","Environmental Science",405,36242,0.880490890313264,0.814270571029448
"340","Communications","Ethnic and Cultural Studies",187,16433,0.399235881036308,0.925874849924471
"341","Communications","Family Studies",367,34162,0.829957778127082,0.912126113265557
"342","Communications","Finance",1145,113315,2.75296134970055,1.46441932583166
"343","Communications","Fine Arts",1359,129047,3.1351666001395,1.38561068741683
"344","Communications","Foreign Languages",361,33674,0.818101932575709,0.855240148943392
"345","Communications","General Science",267,30064,0.730397829214115,0.724906051332021
"346","Communications","History",1151,104459,2.5378069066617,1.04615111921228
"348","Communications","Interdisciplinary",34,3642,0.0884815358567658,1.27602689203579
"349","Communications","Journalism",749,68145,1.6555667932343,1.84977033921413
"350","Communications","Law",66,6588,0.16005391494354,1.29103180063772
"351","Communications","Liberal Arts",560,52874,1.28456142967892,0.938058073472096
"353","Communications","Linguistics",62,6117,0.148611080405227,0.706101571488269
"354","Communications","Marketing",1370,134580,3.26958953750784,1.58103953300818
"355","Communications","Math and Stats",451,39453,0.958501382250682,0.547687024879325
"357","Communications","Medical Sciences",1068,101430,2.46421806204057,0.727603829118637
"359","Communications","Music",283,27122,0.658922629189237,0.843829009122773
"360","Communications","Nursing",915,87853,2.13436803119837,0.618511856166914
"361","Communications","Performing Arts",321,27607,0.670705590444189,1.65623089843238
"362","Communications","Philosophy and Religious Studies",531,49255,1.19663867342806,0.869979485544283
"363","Communications","Physical Education",414,37593,0.913313118468808,1.26381740921777
"364","Communications","Physics and Astronomy",176,17492,0.424964037673407,0.583588628101127
"365","Communications","Policy Studies",420,40535,0.984788318493686,0.912990079599632
"366","Communications","Political Science",1416,138441,3.36339162700344,1.34847564864802
"367","Communications","Psychology",1920,185115,4.49732551074278,1.03789461224431
"368","Communications","Social Science",1296,118253,2.87292890161179,0.985550764756567
"369","Communications","Transportation",124,11643,0.282863954415246,1.27693786801449
"370","Computer Science","Accounting",1864,182666,4.05517935243137,1.08652901308643
"371","Computer Science","Agriculture",258,24990,0.554777200011278,0.502086382296309
"372","Computer Science","Architecture",259,26036,0.577998366526356,0.74092734970834
"373","Computer Science","Art History",82,7445,0.165278761668026,0.667095151803079
"374","Computer Science","Biology",2052,203533,4.51842608442959,0.841189067150555
"375","Computer Science","Business",4672,484381,10.753242693824,0.942735694825057
"376","Computer Science","Chemistry",502,48092,1.06764086046188,0.708365860776331
"377","Computer Science","Communications",1170,117518,2.6088958379722,0.969222303010527
"378","Computer Science","Computer Science",6314,701010,15.5623995590198,5.31451287094956
"381","Computer Science","Criminal Justice",356,36863,0.8183574199286,0.678261702412519
"382","Computer Science","Economics",840,85334,1.8944120682578,0.806081764815445
"383","Computer Science","Education",4002,387314,8.59835840116719,0.617715460894249
"384","Computer Science","Engineering",5445,554897,12.3186956364409,1.2721530556915
"385","Computer Science","English",1288,126679,2.81226974470703,0.820483180079244
"386","Computer Science","Environmental Science",320,30161,0.669573234475396,0.619215657890405
"387","Computer Science","Ethnic and Cultural Studies",188,17420,0.386723442344796,0.896856895728268
"388","Computer Science","Family Studies",418,40348,0.895724308365547,0.984403694159525
"389","Computer Science","Finance",810,85514,1.89840806249557,1.0098455312347
"390","Computer Science","Fine Arts",942,94555,2.09911797307188,0.927721022500253
"391","Computer Science","Foreign Languages",351,33554,0.744897725857479,0.778712798363614
"392","Computer Science","General Science",320,35801,0.79478105392572,0.788805263206324
"393","Computer Science","History",539,51206,1.13677156077541,0.468607463092812
"394","Computer Science","Interdisciplinary",45,3932,0.0872902741274247,1.2588471214794
"395","Computer Science","Journalism",308,30368,0.674168627848839,0.753250747272396
"396","Computer Science","Law",65,8007,0.177755143677083,1.43381377664361
"397","Computer Science","Liberal Arts",477,51529,1.14394215043542,0.835370238302281
"398","Computer Science","Library Science",31,3387,0.0751912915741575,0.98452202754506
"399","Computer Science","Linguistics",129,12039,0.267265414603272,1.26986825980321
"400","Computer Science","Marketing",862,86708,1.92491482427282,0.930809891356542
"401","Computer Science","Math and Stats",1161,109643,2.43407109006949,1.39082645506313
"403","Computer Science","Medical Sciences",1437,149147,3.31105862545346,0.977648571205034
"405","Computer Science","Music",250,23833,0.529091837049571,0.677565178867722
"406","Computer Science","Nursing",1409,144332,3.20416577959295,0.928525287170214
"407","Computer Science","Performing Arts",146,13377,0.296968971770743,0.73333103775571
"408","Computer Science","Philosophy and Religious Studies",296,27106,0.601752332273137,0.437485454158764
"409","Computer Science","Physical Education",192,20243,0.449393951973921,0.621858988771769
"410","Computer Science","Physics and Astronomy",368,36138,0.802262443137557,1.10171970659425
"411","Computer Science","Policy Studies",482,51891,1.15197853884695,1.06799136312556
"412","Computer Science","Political Science",668,65500,1.45409790319082,0.582987574373666
"413","Computer Science","Psychology",1890,181895,4.0380631771129,0.931905721667295
"414","Computer Science","Social Science",1005,98402,2.18452124992036,0.749394204373578
"415","Computer Science","Transportation",65,6909,0.153379578826647,0.692404192194534
"416","Construction","Accounting",105,9749,4.01431300853181,1.07557953474064
"417","Construction","Agriculture",37,2436,1.00306354382844,0.907796454093039
"418","Construction","Architecture",33,2754,1.1340053364957,1.45366374579239
"420","Construction","Biology",108,10018,4.12507823566229,0.76796001854258
"421","Construction","Business",308,29587,12.182939684422,1.06807738001867
"423","Construction","Communications",93,10300,4.24119642915967,1.57563266402303
"425","Construction","Construction",48,4410,1.81589089831011,11.6357724037049
"428","Construction","Economics",45,4452,1.83318509734163,0.780029370608506
"429","Construction","Education",496,42818,17.631024145996,1.26663179706355
"430","Construction","Engineering",104,10008,4.12096056922621,0.425571945784499
"431","Construction","English",58,5501,2.26512830648615,0.660853838616682
"434","Construction","Family Studies",74,6912,2.84613104061666,3.1279065114812
"435","Construction","Finance",31,2712,1.11671113746418,0.59402700211474
"436","Construction","Fine Arts",98,10624,4.37460882168857,1.93339142178706
"439","Construction","History",36,3337,1.37406528971901,0.566425909306902
"441","Construction","Journalism",32,3156,1.29953552722601,1.45197575666885
"443","Construction","Liberal Arts",33,3313,1.36418289027242,0.996202497852094
"446","Construction","Marketing",85,7717,3.17760318872089,1.53655839515211
"448","Construction","Medical Sciences",135,12396,5.10425931416148,1.50712250020626
"451","Construction","Nursing",145,14980,6.16826432124387,1.78748201620693
"454","Construction","Physical Education",37,3568,1.4691833843924,2.03301480371495
"456","Construction","Policy Studies",39,4360,1.79530256612972,1.66441237053228
"457","Construction","Political Science",35,3099,1.27606482854037,0.511609285683037
"458","Construction","Psychology",116,9673,3.98301874361762,0.919202646320661
"459","Construction","Social Science",65,5305,2.18442204433903,0.749360242683014
"504","Criminal Justice","Accounting",680,68442,3.68837484519949,0.988248964754122
"505","Criminal Justice","Agriculture",132,13793,0.743311917241409,0.672714709236061
"506","Criminal Justice","Architecture",68,7059,0.380413167824774,0.48764588979843
"508","Criminal Justice","Biology",655,60393,3.25461006437761,0.605906204912699
"509","Criminal Justice","Business",2275,222404,11.9854668050575,1.0507652008376
"510","Criminal Justice","Chemistry",129,11258,0.606699453657927,0.40253719513401
"511","Criminal Justice","Communications",651,69177,3.72798437606097,1.38497097548787
"512","Criminal Justice","Computer Science",356,38086,2.05247427536115,0.700913708058483
"515","Criminal Justice","Criminal Justice",1620,158848,8.56040103168008,7.09493450611411
"516","Criminal Justice","Economics",223,23119,1.24589488977772,0.530134543264474
"517","Criminal Justice","Education",3122,296979,16.0043521982481,1.14977004174086
"518","Criminal Justice","Engineering",763,72497,3.90690089641488,0.403465953829072
"519","Criminal Justice","English",459,42132,2.27051531191293,0.662425502394018
"520","Criminal Justice","Environmental Science",154,13786,0.742934683614157,0.68705975542347
"521","Criminal Justice","Ethnic and Cultural Studies",49,5538,0.298445689674684,0.692130561650652
"522","Criminal Justice","Family Studies",225,21730,1.17104096002725,1.28697757380509
