canonical,field,detailed,count
Psychology,Psychology,Counseling Psychology,1622
Psychology,Psychology,Industrial and Organizational Psychology,754
Psychology,Psychology,Social Psychology,357
Psychology,Psychology,Miscellaneous Psychology,1578
Criminal Justice,Criminal Justice and Fire Protection,Criminal Justice and Fire Protection,17301
Policy Studies,"Public Affairs, Policy, and Social Work",Public Administration,2289
Policy Studies,"Public Affairs, Policy, and Social Work",Public Policy,911
Policy Studies,"Public Affairs, Policy, and Social Work",Human Services and Community Organization,1699
Policy Studies,"Public Affairs, Policy, and Social Work",Social Work,12781
Social Science,Social Sciences,General Social Sciences,5023
Economics,Social Sciences,Economics,39481
Social Science,Social Sciences,Anthropology and Archeology,6822
Criminal Justice,Social Sciences,Criminology,1851
Social Science,Social Sciences,Geography,5095
Social Science,Social Sciences,International Relations,4214
Political Science,Social Sciences,Political Science and Government,42348
Social Science,Social Sciences,Sociology,26460
Social Science,Social Sciences,Miscellaneous Social Sciences,860
Construction,Construction Services,Construction Services,2599
Mechanics,Electrical and Mechanic Repairs and Technologies,Electrical and Mechanic Repairs and Technologies,307
Industrial Arts,Precision Production and Industrial Arts,Precision Production and Industrial Arts,51
Transportation,Transportation Sciences and Technologies,Transportation Sciences and Technologies,3662
Fine Arts,Fine Arts,Fine Arts,18626
Performing Arts,Fine Arts,Drama and Theater Arts,5274
Music,Fine Arts,Music,13139
Performing Arts,Fine Arts,Visual and Performing Arts,1524
Fine Arts,Fine Arts,Commercial Art and Graphic Design,12954
Fine Arts,Fine Arts,"Film, Video and Photographic Arts",2768
Art History,Fine Arts,Art History and Criticism,4365
Fine Arts,Fine Arts,Studio Arts,2658
Fine Arts,Fine Arts,Miscellaneous Fine Arts,167
Medical Sciences,Medical and Health Sciences and Services,General Medical and Health Services,3562
Medical Sciences,Medical and Health Sciences and Services,Communication Disorders Sciences and Services,8224
Medical Sciences,Medical and Health Sciences and Services,Health and Medical Administrative Services,3195
Medical Sciences,Medical and Health Sciences and Services,Medical Assisting Services,2202
Medical Sciences,Medical and Health Sciences and Services,Medical Technologies Technicians,5982
Medical Sciences,Medical and Health Sciences and Services,Health and Medical Preparatory Programs,4633
Nursing,Medical and Health Sciences and Services,Nursing,56509
Medical Sciences,Medical and Health Sciences and Services,"Pharmacy, Pharmaceutical Sciences, and Administration",10557
Medical Sciences,Medical and Health Sciences and Services,Treatment Therapy Professions,11825
Medical Sciences,Medical and Health Sciences and Services,Community and Public Health,2216
Medical Sciences,Medical and Health Sciences and Services,Miscellaneous Health Medical Professions,3320
Business,Business,General Business,65220
Accounting,Business,Accounting,60691
Accounting,Business,Actuarial Science,402
Business,Business,Business Management and Administration,91694
Business,Business,"Operations, Logistics and E-Commerce",1794
Business,Business,Business Economics,2968
Marketing,Business,Marketing and Marketing Research,33284
Finance,Business,Finance,29958
Business,Business,Human Resources and Personnel Management,5786
Business,Business,International Business,2719
Business,Business,Hospitality Management,4730
Business,Business,Management Information Systems and Statistics,5469
Business,Business,Miscellaneous Business and Medical Administration,2793
History,History,History,42051
History,History,United States History,1048
